Código Disciplina,Turma,Professor,Link
ADM083,T01,Elzo Alves Aranha,https://chat.whatsapp.com/JSnzAUVBmTzKPFLclK6utC
ADM083,T02,Elzo Alves,https://chat.whatsapp.com/LTXr20V1S66KO395NtqqOW
AST927,T01,HICKEL,https://chat.whatsapp.com/IWqIOq987loFaOSX3otx2Y
BAC002,T4,BETANIA MAFRA,https://chat.whatsapp.com/BTNQ7AXrin860eLqDFYhpU
BIO002.1,t01,Melloni,https://chat.whatsapp.com/GNstnF7Gl58FQzzjRvOCeX
CAT020,T01,Arcilan,https://chat.whatsapp.com/FNR15Zl5kLY8x9tfQFxLAj
CCO016,T02,Silvia Elisabeth,https://chat.whatsapp.com/KU0LbOIPt0h235MgWI4E4T
CCO016,T03,Alexandre ,https://chat.whatsapp.com/JP0snxvUSMAJ1bp4moygq6
CIC110,T01,PEDRO HENRIQUE DEL BIANCO HOKAMA,https://chat.whatsapp.com/Gle0cbwz7R13xcThZXDCEk
COM120,T01,CARLOS MINORU TAMAKI,https://chat.whatsapp.com/DhRSyW0nPhU28uvNv8EXVy
COM210,T01,JOAO BOSCO SCHUMAM CUNHA,https://chat.whatsapp.com/Cgr20cm1B0pHTiTCNRpomf
COM220,T01,LAERCIO AUGUSTO BALDOCHI JUNIOR,https://chat.whatsapp.com/DOGG8hqlUhtHWGFvroZkxu
DES201,T02,Carlos Molina,https://chat.whatsapp.com/BBO5YlVpX1f9CwKkK0tVDc
DES201,T03,CARLOS EDUARDO CORREA MOLINA,https://chat.whatsapp.com/FLC8KbO4cZsJpCDtYJl3kI
DES204,T02,MOLINA,https://chat.whatsapp.com/BBO5YlVpX1f9CwKkK0tVDc
DES204,T03,Paulo Pereira Júnior,https://chat.whatsapp.com/JtUNpbiA95LGrupzXeex47
DES204,T04,Jean Carlo,https://chat.whatsapp.com/LjDwJmg0CyY9H6nkeRMwv7
DIR803,t01,Daniela Rocha,https://chat.whatsapp.com/CP9eM7oQlwoEP1c06xw9e6
EAM002,T01,Rafael Silva ,https://chat.whatsapp.com/LUq0El1ZAgdBkO1eLG6BtW
EAM003.1,T01,Ana Lúcia,https://chat.whatsapp.com/EIBncp8RENk6p6VkPxz1OG
ECAC01A,T02,JEREMIAS BARBOSA MACHADO,https://chat.whatsapp.com/DQZSxE7oaM803YD1zl7ujC
ECAC02,T01,GISCARD FRANCIMEIRE CINTRA VELOSO,https://chat.whatsapp.com/GxsRr9KTBZq0UXuWoIl5VA
ECAC03,T01,Luis Henrique de Carvalho Ferreira,https://chat.whatsapp.com/D3puv1ptNYN1XsxuBAh2Qo
ECN001,T01,Viviane,https://chat.whatsapp.com/CoDG25Ww84L3MVQPBZamoc
ECN001,T03 T04,Vitor Valério,https://chat.whatsapp.com/Fm11HBaagBgHFE86eZ32OY
ECOM01,T01,EDMILSON MARMO MOREIRA,https://chat.whatsapp.com/LMh3NDHzx5c0crixSW2Mbl
